Question,Answer
What are the symptoms of Palmer Pagon syndrome ?,"What are the signs and symptoms of Palmer Pagon syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Palmer Pagon syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal nasal morphology 90% Abnormality of the thorax 90% Abnormality of the urinary system 90% Communicating hydrocephalus 90% Epicanthus 90% Hernia of the abdominal wall 90% Anomalous pulmonary venous return 50% Patent ductus arteriosus 50% Tetralogy of Fallot 50% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
"What is (are) multicentric osteolysis, nodulosis, and arthropathy ?","Multicentric osteolysis, nodulosis, and arthropathy (MONA) describes a rare inherited disease characterized by a loss of bone tissue (osteolysis), particularly in the hands and feet. MONA includes a condition formerly called nodulosis-arthropathy-osteolysis (NAO) syndrome. It may also include a similar disorder called Torg syndrome, although it is unknown whether Torg syndrome is actually part of MONA or a separate disorder caused by a mutation in a different gene.  In most cases of MONA, bone loss begins in the hands and feet, causing pain and limiting movement. Bone abnormalities can later spread to other areas of the body, with joint problems (arthropathy) occurring in the elbows, shoulders, knees, hips, and spine. Most people with MONA develop low bone mineral density (osteopenia) and thinning of the bones (osteoporosis) throughout the skeleton. These abnormalities make bones brittle and more prone to fracture. The bone abnormalities also lead to short stature.  Many affected individuals develop subcutaneous nodules, which are firm lumps of noncancerous tissue underneath the skin, especially on the soles of the feet. Some affected individuals also have skin abnormalities including patches of dark, thick, and leathery skin. Other features of MONA can include clouding of the clear front covering of the eye (corneal opacity), excess hair growth (hypertrichosis), overgrowth of the gums, heart abnormalities, and distinctive facial features that are described as ""coarse."""
What are the treatments for glycogen storage disease type I ?,"These resources address the diagnosis or management of glycogen storage disease type I:  - American Liver Foundation  - Canadian Liver Foundation  - Gene Review: Gene Review: Glycogen Storage Disease Type I  - Genetic Testing Registry: Glucose-6-phosphate transport defect  - Genetic Testing Registry: Glycogen storage disease type 1A  - Genetic Testing Registry: Glycogen storage disease, type I  - MedlinePlus Encyclopedia: Von Gierke Disease   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
What is (are) Sturge-Weber syndrome ?,"Sturge-Weber syndrome is a rare disorder that is present at birth. Affected individuals have a large port-wine stain birthmark on their face, which is caused by blood vessel abnormalities. People with Sturge-Weber syndrome also develop blood vessel abnormalities in the brain called leptomeningeal angiomas. Other features of this syndrome include glaucoma, seizures, muscle weakness, paralysis, developmental delay, and intellectual disability. Sturge-Weber syndrome is caused by a mutation in the GNAQ gene. The gene mutation is not inherited, but occurs by chance in cells of the developing embryo."
What is (are) Idiopathic neutropenia ?,"Idiopathic neutropenia is an acquired form of severe chronic neutropenia whose cause is unknown. Neutropenia is a blood condition that causes a reduced number or complete absence of neutrophils, a type of white blood cell that is responsible for much of the body's protection against infection. Symptoms include fever, moth sores, and other types of infections. Neutropenia idiopathic may occur in children and adults. Frequency and severity of infections appear to be directly related to neutrophil count; while clinical problems in individual patients may vary, in general, those patients with more severe neutropenia have more frequent infections. Most patients respond well to granulocyte-colony stimulating factor (G-CSF). Long-term treatment is usually required."
What causes Hypothyroidism ?,"Hypothyroidism has several causes, including
                
- Hashimotos disease  - thyroiditis, or inflammation of the thyroid  - congenital hypothyroidism, or hypothyroidism that is present at birth  - surgical removal of part or all of the thyroid  - radiation treatment of the thyroid  - some medications
                
Less commonly, hypothyroidism is caused by too much or too little iodine in the diet or by abnormalities of the pituitary gland.
                
Hashimotos Disease
                
Hashimotos disease, also called chronic lymphocytic thyroiditis, is the most common cause of hypothyroidism in the United States.1 Hashimotos disease is a form of chronic inflammation of the thyroid gland. Hashimotos disease is also an autoimmune disorder.
                
Normally, the immune system protects the body against foreign invaderssuch as viruses and bacteriathat can cause illness. But in autoimmune diseases, the immune system attacks the bodys own cells and organs. With Hashimotos disease, the immune system attacks the thyroid, causing inflammation and interfering with its ability to produce thyroid hormones.
                
More information is provided in the NIDDK health topic, Hashimotos Disease.
                
Thyroiditis
                
Thyroiditis causes stored thyroid hormone to leak out of the thyroid gland. At first, the leakage raises hormone levels in the blood, leading to hyperthyroidismwhen thyroid hormone levels are too highthat lasts for 1 or 2 months. Most people then develop hypothyroidism before the thyroid is completely healed.
                
Several types of thyroiditis can cause hyperthyroidism followed by hypothyroidism:
                
- Subacute thyroiditis. This condition involves painful inflammation and enlargement of the thyroid. Experts are not sure what causes subacute thyroiditis, but it may be related to a viral or bacterial infection. The condition usually goes away on its own in a few months.  - Postpartum thyroiditis. This type of thyroiditis develops after a woman gives birth. For more information, see the section titled What happens with pregnancy and thyroid conditions?  - Silent thyroiditis. This type of thyroiditis is called silent because it is painless, as is postpartum thyroiditis, even though the thyroid may be enlarged. Like postpartum thyroiditis, silent thyroiditis is probably an autoimmune condition and sometimes develops into permanent hypothyroidism.
                
Congenital Hypothyroidism
                
Some babies are born with a thyroid that is not fully developed or does not function properly. If untreated, congenital hypothyroidism can lead to mental retardation and growth failure. Early treatment can prevent these complications, so most newborns in the United States are screened for hypothyroidism.
                
Surgical Removal of the Thyroid
                
When part of the thyroid is removed, the remaining part may produce normal amounts of thyroid hormone, but some people who have this surgery develop hypothyroidism. Removal of the entire thyroid always results in hypothyroidism.
                
Part or all of the thyroid may be surgically removed as a treatment for
                
- hyperthyroidism  - a large goiter, which is an enlarged thyroid that may cause the neck to appear swollen and can interfere with normal breathing and swallowing  - thyroid nodules, which are noncancerous tumors, called adenomas, or lumps in the thyroid that can produce excess thyroid hormone  - thyroid cancer
                
Radiation Treatment of the Thyroid
                
Radioactive iodine, a common treatment for hyperthyroidism, gradually destroys the cells of the thyroid. Most people who receive radioactive iodine treatment eventually develop hypothyroidism. People with Hodgkins disease, other lymphomas, and head or neck cancers are treated with radiation, which can also damage the thyroid.
                
Medications
                
Some drugs can interfere with thyroid hormone production and lead to hypothyroidism, including
                
- amiodarone, a heart medication  - interferon alpha, a cancer medication  - lithium, a bipolar disorder medication  - interleukin-2, a kidney cancer medication"
how can hps be prevented for Hantavirus ?,"Eliminate or minimize contact with rodents in your home, workplace, or campsite. If rodents don't find that where you are is a good place for them to be, then you're less likely to come into contact with them. Seal up holes and gaps in your home or garage. Place traps in and around your home to decrease rodent infestation. Clean up any easy-to-get food.
  
Recent research results show that many people who became ill with HPS developed the disease after having been in frequent contact with rodents and/or their droppings around a home or a workplace. On the other hand, many people who became ill reported that they had not seen rodents or rodent droppings at all. Therefore, if you live in an area where the carrier rodents are known to live, try to keep your home, vacation place, workplace, or campsite clean.
  
For more information on how you can prevent rodent infestations, the following information is available on the CDC Rodents site:"
What is (are) Urinary Incontinence ?,"There are different types of urinary incontinence. Stress urinary incontinence happens when urine leaks as pressure is put on the bladder, for example, during exercise, coughing, sneezing, laughing, or lifting heavy objects. Its the most common type of bladder control problem in younger and middle-age women. It may begin around the time of menopause. Urgency urinary incontinence happens when people have a sudden need to urinate and arent able to hold their urine long enough to get to the toilet. Mixed urinary incontinence is a mix of stress and urgency urinary incontinence. You may leak urine with a laugh or sneeze at one time. At another time, you may leak urine because you have a sudden urge to urinate that you cannot control. Overflow urinary incontinence happens when small amounts of urine leak from a bladder that is always full. A man can have trouble emptying his bladder if an enlarged prostate is blocking the urethra. Diabetes and spinal cord injury can also cause this type of urinary incontinence. Functional urinary incontinence occurs in many older people who have a problem getting to the toilet in time. They may not make it in time because of arthritis or other disorders that make it hard to move quickly. Learn about urinary incontinence in men. Learn about urinary incontinence in women."
What are the treatments for Neurofibromatosis ?,"Treatment may include surgery, focused radiation, or chemotherapy. Surgery to remove NF2 tumors completely is one option. Surgery for vestibular schwannomas does not restore hearing and usually reduces hearing. Sometimes surgery is not performed until functional hearing is lost completely. Surgery may result in damage to the facial nerve and some degree of facial paralysis. Focused radiation of vestibular schwannoma carries of a lower risk of facial paralysis than open surgery, but is more effective o shrinking small to moderate tumors than larger tumors. Chemotherapy with a drug that targets the blood vessels of vestibular schwannoma can reduce the size of the tumor and improves hearing, but some tumors do not respond at all and sometimes respond only temporarily. Bone malformations can often be corrected surgically, and surgery can also correct cataracts and retinal abnormalities. Pain usually subsides when tumors are removed completely."
what research (or clinical trials) is being done for Machado-Joseph Disease ?,"The NINDS supports research on Lyme disease. Current areas of interest include improving diagnostic tests and developing more effective treatments. The National Institute of Allergy and Infectious Diseases (NIAID), the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS), and the National Center for Research Resources (NCRR), all parts of the National Institutes of Health (NIH), also support research on Lyme disease."
What causes Heart Disease in Women ?,"Research suggests thatcoronary heart disease(CHD) begins with damage to the lining and inner layers of the coronary (heart) arteries. Several factors contribute to this damage. They include:
                
Smoking, including secondhand smoke
                
High amounts of certain fats andcholesterol in the blood
                
High blood pressure
                
High amounts of sugar in the blood due to insulin resistance or diabetes
                
Blood vessel inflammation
                
Plaque may begin to build up where the arteries are damaged. The buildup of plaque in the coronary arteries may start in childhood.
                
Over time, plaque can harden or rupture (break open). Hardened plaque narrows the coronary arteries and reduces the flow of oxygen-rich blood to the heart. This can cause chest pain or discomfort calledangina.
                
If the plaque ruptures, blood cell fragments called platelets (PLATE-lets) stick to the site of the injury. They may clump together to form blood clots.
                
Blood clots can further narrow the coronary arteries and worsenangina. If a clot becomes large enough, it can mostly or completely block a coronary artery and cause a heart attack.
                
In addition to the factors above, low estrogen levels before or after menopause may play a role in causingcoronary microvascular disease(MVD). Coronary MVD is heart disease that affects the heart's tiny arteries.
                
The cause of broken heart syndrome isn't yet known. However, a sudden release of stress hormones may play a role in causing the disorder. Most cases of broken heart syndrome occur in women who have gone through menopause."
How many people are affected by Acquired Cystic Kidney Disease ?,"Acquired cystic kidney disease becomes more common the longer a person has CKD.
                
- About 7 to 22 percent of people with CKD already have acquired cystic kidney disease before starting dialysis treatments.  - Almost 60 percent of people on dialysis for 2 to 4 years develop acquired cystic kidney disease.1  - About 90 percent of people on dialysis for 8 years develop acquired cystic kidney disease.1"
What is (are) Skin Cancer ?,"Skin cancer is the most common form of cancer in the United States. The two most common types are basal cell cancer and squamous cell cancer. They usually form on the head, face, neck, hands, and arms. Another type of skin cancer, melanoma, is more dangerous but less common.     Anyone can get skin cancer, but it is more common in people who        -  Spend a lot of time in the sun or have been sunburned    -  Have light-colored skin, hair and eyes    -  Have a family member with skin cancer    -  Are over age 50       You should have your doctor check any suspicious skin markings and any changes in the way your skin looks. Treatment is more likely to work well when cancer is found early. If not treated, some types of skin cancer cells can spread to other tissues and organs. Treatments include surgery, radiation therapy, chemotherapy, photodynamic therapy (PDT), and biologic therapy. PDT uses a drug and a type of laser light to kill cancer cells. Biologic therapy boosts your body's own ability to fight cancer.    NIH: National Cancer Institute"
Who is at risk for Prostate Cancer? ?,"Age is the most important risk factor for prostate cancer. The disease is extremely rare in men under age 40, but the risk increases greatly with age. More than 60 percent of cases are diagnosed in men over age 65. The average age at the time of diagnosis is 65."
Is atypical hemolytic-uremic syndrome inherited ?,"Most cases of atypical hemolytic-uremic syndrome are sporadic, which means that they occur in people with no apparent history of the disorder in their family. Less than 20 percent of all cases have been reported to run in families. When the disorder is familial, it can have an autosomal dominant or an autosomal recessive pattern of inheritance.  Autosomal dominant inheritance means one copy of an altered gene in each cell is sufficient to increase the risk of the disorder. In some cases, an affected person inherits the mutation from one affected parent. However, most people with the autosomal dominant form of atypical hemolytic-uremic syndrome have no history of the disorder in their family. Because not everyone who inherits a gene mutation will develop the signs and symptoms of the disease, an affected individual may have unaffected relatives who carry a copy of the mutation.  Autosomal recessive inheritance means both copies of a gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What is (are) Pyelonephritis: Kidney Infection ?,Pyelonephritis is a type of urinary tract infection (UTI) that affects one or both kidneys.
"What are the symptoms of Epidermolysis bullosa, late-onset localized junctional, with mental retardation ?","What are the signs and symptoms of Epidermolysis bullosa, late-onset localized junctional, with mental retardation? The Human Phenotype Ontology provides the following list of signs and symptoms for Epidermolysis bullosa, late-onset localized junctional, with mental retardation. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the teeth - Autosomal recessive inheritance - Cleft palate - Dystrophic toenail - Intellectual disability - Late onset - Lens subluxation - Mandibular prognathia - Short philtrum - Thick upper lip vermilion - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Lichen sclerosus ?,"Lichen sclerosus is a chronic skin disorder that is more common in women, most often affecting the external part of the vagina (vulva) or the area around the anus. In men, it typically affects the tip of the penis. It can occur at any age but is usually seen in women over age 50. Some people have no symptoms, while others may experience itchiness (sometimes severe), discomfort, or blistering. It often lasts for years and can cause permanent scarring. The underlying cause of lichen sclerosus is not fully understood but it is thought to relate to an autoimmune process. Treatment may include topical steroids or other types of topical creams and/or surgery."
How many people are affected by otospondylomegaepiphyseal dysplasia ?,This condition is rare; the prevalence is unknown. Only a few families with OSMED have been reported worldwide.
What are the symptoms of Kapur Toriello syndrome ?,"What are the signs and symptoms of Kapur Toriello syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Kapur Toriello syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal nasal morphology 90% Aplasia/Hypoplasia affecting the eye 90% Chorioretinal coloboma 90% Cognitive impairment 90% Low-set, posteriorly rotated ears 90% Oral cleft 90% Abnormality of female external genitalia 50% Constipation 50% Hypoplasia of penis 50% Intestinal malrotation 50% Short neck 50% Abnormality of neuronal migration 7.5% Aplasia/Hypoplasia of the corpus callosum 7.5% Atresia of the external auditory canal 7.5% Patent ductus arteriosus 7.5% Preauricular skin tag 7.5% Tetralogy of Fallot 7.5% Ventricular septal defect 7.5% Abnormality of the urinary system - Atria septal defect - Autosomal recessive inheritance - Bilateral single transverse palmar creases - Bulbous nose - Camptodactyly of finger - Cataract - Cleft palate - Cleft upper lip - Clinodactyly of the 5th toe - Conductive hearing impairment - Cryptorchidism - Hypoplastic labia majora - Intellectual disability, progressive - Intellectual disability, severe - Intrauterine growth retardation - Iridoretinal coloboma - Joint contracture of the hand - Low hanging columella - Low posterior hairline - Low-set ears - Micropenis - Microphthalmia - Overlapping fingers - Pachygyria - Polymicrogyria - Scoliosis - Seizures - Short thumb - Single transverse palmar crease - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) spinocerebellar ataxia type 6 ?,"Spinocerebellar ataxia type 6 (SCA6) is a condition characterized by progressive problems with movement. People with this condition initially experience problems with coordination and balance (ataxia). Other early signs and symptoms of SCA6 include speech difficulties, involuntary eye movements (nystagmus), and double vision. Over time, individuals with SCA6 may develop loss of coordination in their arms, tremors, and uncontrolled muscle tensing (dystonia).  Signs and symptoms of SCA6 typically begin in a person's forties or fifties but can appear anytime from childhood to late adulthood. Most people with this disorder require wheelchair assistance by the time they are in their sixties."
"What are the genetic changes related to intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?","IMAGe syndrome is caused by mutations in the CDKN1C gene. This gene provides instructions for making a protein that helps control growth before birth. The mutations that cause IMAGe syndrome alter the structure and function of the CDKN1C protein, which inhibits normal growth starting in the early stages of development before birth. Researchers are working to determine how these genetic changes underlie the bone abnormalities, adrenal gland underdevelopment, and other signs and symptoms of this condition.  People inherit one copy of most genes from their mother and one copy from their father. For most genes, both copies are fully turned on (active) in cells. The CDKN1C gene, however, is most active when it is inherited from a person's mother. The copy of CDKN1C inherited from a person's father is active at much lower levels in most tissues. This sort of parent-specific difference in gene activation is caused by a phenomenon called genomic imprinting. When genomic imprinting reduces the activity of the copy of a gene inherited from the father, that gene is said to be paternally imprinted."
